VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,"2/1/2022, 1:50:51 AM","2/1/2022, 1:50:53 AM",1,0,5,N,264,264,1,15,0,0,3.82,0,0.3,19.12,0,0
2,"2/1/2022, 1:47:26 AM","2/1/2022, 2:00:13 AM",1,7.66,4,N,132,265,1,25,0.5,0.5,0,0,0.3,27.55,0,1.25
1,"2/1/2022, 1:16:30 AM","2/1/2022, 1:41:12 AM",0,13.8,1,N,132,155,2,39.5,1.75,0.5,0,0,0.3,42.05,0,1.25
1,"2/1/2022, 1:23:24 AM","2/1/2022, 1:32:32 AM",1,1.6,1,N,244,152,2,8.5,0.5,0.5,0,0,0.3,9.8,0,0
1,"2/1/2022, 1:46:07 AM","2/1/2022, 2:02:47 AM",1,7.1,1,N,238,69,1,22,0.5,0.5,1,0,0.3,24.3,0,0
2,"2/1/2022, 1:27:56 AM","2/1/2022, 1:54:44 AM",1,17.79,1,N,132,49,1,48,0.5,0.5,10.11,0,0.3,60.66,0,1.25
2,"2/1/2022, 1:35:22 AM","2/1/2022, 2:10:03 AM",2,22.26,1,N,132,181,1,60,0.5,0.5,8,0,0.3,70.55,0,1.25
2,"2/1/2022, 1:23:55 AM","2/1/2022, 1:48:11 AM",4,5.81,1,N,186,25,1,20.5,0.5,0.5,4.86,0,0.3,29.16,2.5,0
1,"2/1/2022, 1:02:19 AM","2/1/2022, 1:28:13 AM",1,10.5,1,N,132,36,1,31.5,1.75,0.5,5.11,0,0.3,39.16,0,1.25
2,"2/1/2022, 1:56:20 AM","2/1/2022, 2:25:29 AM",1,19.32,2,N,132,107,1,52,0,0.5,5.5,0,0.3,62.05,2.5,1.25
1,"2/1/2022, 1:07:52 AM","2/1/2022, 1:32:29 AM",1,9,1,N,48,223,1,28,3,0.5,6.35,0,0.3,38.15,2.5,0
1,"2/1/2022, 1:53:11 AM","2/1/2022, 1:59:47 AM",2,1.3,1,N,141,163,2,6.5,3,0.5,0,0,0.3,10.3,2.5,0
1,"2/1/2022, 1:02:44 AM","2/1/2022, 1:07:33 AM",2,0.7,1,N,79,144,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5,0
1,"2/1/2022, 1:14:17 AM","2/1/2022, 1:24:13 AM",1,2.6,1,N,114,68,2,10,3,0.5,0,0,0.3,13.8,2.5,0
1,"2/1/2022, 1:42:40 AM","2/1/2022, 1:51:45 AM",1,3.1,1,N,224,140,1,10.5,3,0.5,4.25,0,0.3,18.55,2.5,0
2,"2/1/2022, 1:18:37 AM","2/1/2022, 1:26:26 AM",1,1.8,1,N,164,162,2,8,0.5,0.5,0,0,0.3,11.8,2.5,0
2,"2/1/2022, 1:42:24 AM","2/1/2022, 1:54:51 AM",1,3.92,1,N,186,238,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5,0
2,"2/1/2022, 1:24:32 AM","2/1/2022, 1:29:41 AM",1,1.83,1,N,68,48,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5,0
1,"2/1/2022, 1:56:43 AM","2/1/2022, 2:12:03 AM",3,11.2,4,N,132,265,1,42.5,1.75,0.5,5,0,0.3,50.05,0,1.25
2,"2/1/2022, 1:15:57 AM","2/1/2022, 1:18:57 AM",1,0.7,1,N,50,143,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5,0
2,"2/1/2022, 1:37:08 AM","2/1/2022, 2:35:03 AM",1,10.3,1,N,143,143,2,42.5,0.5,0.5,0,0,0.3,46.3,2.5,0
1,"2/1/2022, 1:36:48 AM","2/1/2022, 2:10:56 AM",2,12.8,1,N,132,129,2,40,1.75,0.5,0,0,0.3,42.55,0,1.25
2,"2/1/2022, 1:12:40 AM","2/1/2022, 1:35:49 AM",1,13.52,4,N,138,265,1,41.5,0.5,0.5,11.01,0,0.3,55.06,0,1.25
2,"2/1/2022, 1:32:41 AM","2/1/2022, 2:05:06 AM",1,14.96,1,N,68,259,1,44.5,0.5,0.5,5,0,0.3,53.3,2.5,0
1,"2/1/2022, 1:00:48 AM","2/1/2022, 1:45:20 AM",1,2.4,1,Y,79,68,4,12.5,3,0.5,0,0,0.3,16.3,2.5,0
2,"2/1/2022, 1:49:31 AM","2/1/2022, 2:07:24 AM",1,5.73,1,N,48,152,2,20,0.5,0.5,0,0,0.3,23.8,2.5,0
1,"2/1/2022, 1:16:18 AM","2/1/2022, 1:22:14 AM",1,1.5,1,N,231,148,1,7,3,0.5,3.2,0,0.3,14,2.5,0
1,"2/1/2022, 1:32:39 AM","2/1/2022, 1:36:33 AM",1,0.6,1,Y,107,137,1,4.5,3,0.5,2.05,0,0.3,10.35,2.5,0
1,"2/1/2022, 1:06:47 AM","2/1/2022, 1:10:16 AM",1,0.5,1,N,237,161,2,4.5,3,0.5,0,0,0.3,8.3,2.5,0
1,"2/1/2022, 1:39:03 AM","2/1/2022, 1:46:50 AM",1,1.8,1,N,141,236,2,8,3,0.5,0,0,0.3,11.8,2.5,0
2,"2/1/2022, 1:05:41 AM","2/1/2022, 1:05:46 AM",1,0,5,N,142,142,4,-63,0,0,0,0,-0.3,-65.8,-2.5,0
2,"2/1/2022, 1:05:41 AM","2/1/2022, 1:05:46 AM",1,0,5,N,142,142,2,63,0,0,0,0,0.3,65.8,2.5,0
2,"2/1/2022, 12:50:06 AM","2/1/2022, 12:58:51 AM",4,1.52,1,N,229,170,2,8,0.5,0.5,0,0,0.3,11.8,2.5,0
2,"2/1/2022, 1:05:08 AM","2/1/2022, 1:11:08 AM",3,1.3,1,N,186,107,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5,0
1,"2/1/2022, 1:14:06 AM","2/1/2022, 1:20:58 AM",1,2,1,N,230,249,1,8,3,0.5,2,0,0.3,13.8,2.5,0
1,"2/1/2022, 1:25:48 AM","2/1/2022, 1:28:29 AM",1,1,1,Y,68,100,2,5,3,0.5,0,0,0.3,8.8,2.5,0
1,"2/1/2022, 1:49:34 AM","2/1/2022, 1:55:07 AM",1,1.8,1,N,48,249,1,7.5,3,0.5,2.25,0,0.3,13.55,2.5,0
2,"2/1/2022, 1:06:42 AM","2/1/2022, 1:10:22 AM",1,0.84,1,N,68,249,2,5,0.5,0.5,0,0,0.3,8.8,2.5,0
1,"2/1/2022, 1:03:40 AM","2/1/2022, 1:08:10 AM",1,0.9,1,N,79,144,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5,0
1,"2/1/2022, 1:13:33 AM","2/1/2022, 1:41:57 AM",1,8.5,1,N,87,41,1,28,3,0.5,2,0,0.3,33.8,2.5,0
1,"2/1/2022, 1:59:16 AM","2/1/2022, 2:02:21 AM",1,0.3,1,N,186,100,2,4,3,0.5,0,0,0.3,7.8,2.5,0
1,"2/1/2022, 1:10:34 AM","2/1/2022, 1:18:47 AM",1,1.9,1,N,237,239,1,8.5,3,0.5,1,0,0.3,13.3,2.5,0
2,"2/1/2022, 1:03:00 AM","2/1/2022, 1:14:06 AM",2,1.9,1,N,161,164,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5,0
2,"2/1/2022, 1:56:23 AM","2/1/2022, 2:00:35 AM",2,1.18,1,N,114,186,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5,0
2,"2/1/2022, 1:36:42 AM","2/1/2022, 1:56:10 AM",1,14.31,1,N,48,58,2,39,0.5,0.5,0,0,0.3,42.8,2.5,0
2,"2/1/2022, 1:08:38 AM","2/1/2022, 1:28:59 AM",1,16.5,1,N,132,256,1,44,0.5,0.5,9.06,0,0.3,55.61,0,1.25
2,"2/1/2022, 12:48:06 AM","2/1/2022, 12:59:09 AM",1,2.67,1,N,100,239,1,11,0.5,0.5,2.96,0,0.3,17.76,2.5,0
2,"2/1/2022, 1:03:37 AM","2/1/2022, 1:13:56 AM",1,2.17,1,N,143,186,1,9.5,0.5,0.5,1.7,0,0.3,15,2.5,0
2,"2/1/2022, 1:24:28 AM","2/1/2022, 1:53:48 AM",2,11.32,1,N,249,223,1,34.5,0.5,0.5,7.66,0,0.3,45.96,2.5,0
1,"2/1/2022, 1:14:39 AM","2/1/2022, 1:32:37 AM",1,3.2,1,N,186,140,1,14,2.5,0.5,20,0,0.3,37.3,2.5,0
2,"2/1/2022, 1:05:29 AM","2/1/2022, 1:13:33 AM",1,1.63,1,N,164,48,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5,0
2,"2/1/2022, 1:24:55 AM","2/1/2022, 1:35:56 AM",1,2.52,1,N,164,143,1,10,0.5,0.5,2,0,0.3,15.8,2.5,0
2,"2/1/2022, 1:40:06 AM","2/1/2022, 1:55:38 AM",1,5.63,1,N,48,116,1,18.5,0.5,0.5,3,0,0.3,25.3,2.5,0
1,"2/1/2022, 1:25:01 AM","2/1/2022, 1:27:42 AM",2,0.8,1,N,114,107,1,4.5,3,0.5,2,0,0.3,10.3,2.5,0
1,"2/1/2022, 1:59:35 AM","2/1/2022, 2:08:33 AM",1,2,1,N,68,107,1,9,3,0.5,2.55,0,0.3,15.35,2.5,0
1,"2/1/2022, 1:09:14 AM","2/1/2022, 1:16:14 AM",1,2.5,1,N,186,231,1,8.5,3,0.5,2.45,0,0.3,14.75,2.5,0
1,"2/1/2022, 1:25:35 AM","2/1/2022, 1:39:44 AM",1,3.9,1,N,113,239,1,14.5,3,0.5,0,0,0.3,18.3,2.5,0
1,"2/1/2022, 1:55:26 AM","2/1/2022, 2:04:35 AM",1,2.5,1,N,249,246,1,10,3,0.5,1,0,0.3,14.8,2.5,0
2,"2/1/2022, 1:04:11 AM","2/1/2022, 1:18:01 AM",1,3.64,1,N,164,262,1,13,0.5,0.5,3.36,0,0.3,20.16,2.5,0
1,"2/1/2022, 1:05:38 AM","2/1/2022, 1:24:14 AM",2,6.6,1,N,137,166,1,21,3,0.5,4.95,0,0.3,29.75,2.5,0
1,"2/1/2022, 1:15:04 AM","2/1/2022, 1:28:56 AM",1,2.8,1,N,132,10,2,12,1.75,0.5,0,0,0.3,14.55,0,1.25
1,"2/1/2022, 1:54:30 AM","2/1/2022, 1:56:04 AM",1,0.7,1,N,90,186,2,4,3,0.5,0,0,0.3,7.8,2.5,0
1,"2/1/2022, 1:46:19 AM","2/1/2022, 2:08:41 AM",2,14.7,1,N,264,264,1,40.5,0.5,0.5,3,0,0.3,44.8,0,0
2,"2/1/2022, 1:35:33 AM","2/1/2022, 2:01:18 AM",1,14.82,1,N,234,226,1,41,0.5,0.5,5,6.55,0.3,56.35,2.5,0
2,"2/1/2022, 1:10:27 AM","2/1/2022, 1:21:31 AM",1,2.1,1,N,249,232,1,10,0.5,0.5,2.76,0,0.3,16.56,2.5,0
2,"2/1/2022, 1:30:53 AM","2/1/2022, 1:36:39 AM",1,1.03,1,N,107,4,2,6,0.5,0.5,0,0,0.3,9.8,2.5,0
2,"2/1/2022, 1:21:41 AM","2/1/2022, 1:45:48 AM",2,5.81,1,N,163,41,1,20.5,0.5,0.5,1.22,0,0.3,25.52,2.5,0
2,"2/1/2022, 1:17:25 AM","2/1/2022, 1:24:25 AM",6,1.83,1,N,48,239,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5,0
1,"2/1/2022, 1:14:12 AM","2/1/2022, 1:43:46 AM",2,17,1,N,132,256,1,47.5,1.75,0.5,10,0,0.3,60.05,0,1.25
1,"2/1/2022, 1:53:43 AM","2/1/2022, 2:01:52 AM",1,1.6,1,N,141,142,1,8,3,0.5,1,0,0.3,12.8,2.5,0
2,"2/1/2022, 1:36:06 AM","2/1/2022, 1:39:17 AM",1,0.96,1,N,186,48,1,5,0.5,0.5,2.2,0,0.3,11,2.5,0
2,"2/1/2022, 1:14:14 AM","2/1/2022, 1:18:05 AM",1,0.64,1,N,263,262,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5,0
1,"2/1/2022, 1:08:37 AM","2/1/2022, 1:13:01 AM",2,0.8,1,N,224,234,2,5.5,3,0.5,0,0,0.3,9.3,2.5,0
2,"2/1/2022, 1:18:57 AM","2/1/2022, 1:43:46 AM",1,18.98,2,N,132,75,1,52,0,0.5,10,6.55,0.3,70.6,0,1.25
1,"2/1/2022, 1:03:31 AM","2/1/2022, 1:09:48 AM",1,1,1,N,90,107,1,5.5,3,0.5,3,0,0.3,12.3,2.5,0
1,"2/1/2022, 1:41:42 AM","2/1/2022, 1:52:25 AM",1,1.9,1,N,113,232,1,8.5,3,0.5,3.1,0,0.3,15.4,2.5,0
2,"2/1/2022, 1:51:00 AM","2/1/2022, 2:02:04 AM",1,4.23,1,N,132,216,2,14,0.5,0.5,0,0,0.3,16.55,0,1.25
2,"2/1/2022, 12:38:30 AM","2/1/2022, 12:48:13 AM",1,4.78,1,N,41,127,1,15,0.5,0.5,6,0,0.3,22.3,0,0
2,"2/1/2022, 1:13:08 AM","2/1/2022, 1:20:28 AM",1,2.63,1,N,233,75,1,9.5,0.5,0.5,3.32,0,0.3,16.62,2.5,0
2,"2/1/2022, 1:29:22 AM","2/1/2022, 1:32:48 AM",1,0.78,1,N,162,229,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5,0
2,"2/1/2022, 1:50:53 AM","2/1/2022, 1:56:57 AM",1,1.57,1,N,7,202,1,7,0.5,0.5,2.08,0,0.3,10.38,0,0
2,"2/1/2022, 1:10:41 AM","2/1/2022, 1:13:41 AM",1,0.67,1,N,239,142,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5,0
2,"2/1/2022, 1:21:07 AM","2/1/2022, 1:40:30 AM",1,12.65,1,N,50,213,1,35.5,0.5,0.5,0,0,0.3,39.3,2.5,0
1,"2/1/2022, 1:15:35 AM","2/1/2022, 1:41:20 AM",1,6.8,1,N,90,116,1,23,3,0.5,5.35,0,0.3,32.15,2.5,0
2,"2/1/2022, 1:17:44 AM","2/1/2022, 1:52:23 AM",1,22.71,1,N,132,181,1,61,0.5,0.5,0,0,0.3,63.55,0,1.25
2,"2/1/2022, 1:30:18 AM","2/1/2022, 1:43:03 AM",1,2.27,1,N,234,163,1,11,0.5,0.5,0.5,0,0.3,15.3,2.5,0
2,"2/1/2022, 1:18:00 AM","2/1/2022, 1:23:07 AM",1,1.09,1,N,113,164,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5,0
1,"2/1/2022, 1:12:05 AM","2/1/2022, 1:22:28 AM",1,2.3,1,N,161,158,1,9.5,3,0.5,2,0,0.3,15.3,2.5,0
1,"2/1/2022, 1:26:20 AM","2/1/2022, 1:45:14 AM",1,8.2,1,N,249,257,2,24,3,0.5,0,0,0.3,27.8,2.5,0
2,"2/1/2022, 1:00:33 AM","2/1/2022, 1:21:34 AM",1,3.13,1,N,239,264,2,11,0.5,0.5,0,0,0.3,12.3,0,0
1,"2/1/2022, 1:02:51 AM","2/1/2022, 1:09:42 AM",1,1.2,1,N,163,48,2,6.5,3,0.5,0,0,0.3,10.3,2.5,0
1,"2/1/2022, 1:47:15 AM","2/1/2022, 2:02:07 AM",1,3.6,1,N,233,231,2,13.5,3,0.5,0,0,0.3,17.3,2.5,0
2,"2/1/2022, 1:24:51 AM","2/1/2022, 1:38:02 AM",1,4.36,1,N,186,65,1,14.5,0.5,0.5,3.66,0,0.3,21.96,2.5,0
1,"2/1/2022, 1:14:59 AM","2/1/2022, 1:27:42 AM",1,4.9,1,N,138,53,1,16,1.75,0.5,4.6,0,0.3,23.15,0,1.25
2,"2/1/2022, 1:36:40 AM","2/1/2022, 1:51:28 AM",1,8.56,1,N,138,170,1,25,0.5,0.5,7.32,6.55,0.3,43.92,2.5,1.25
2,"2/1/2022, 1:26:12 AM","2/1/2022, 1:44:45 AM",3,8.48,1,N,132,86,1,24.5,0.5,0.5,4,0,0.3,31.05,0,1.25
1,"2/1/2022, 1:19:31 AM","2/1/2022, 1:34:26 AM",1,7.4,1,N,138,98,1,22,1.75,0.5,4.9,0,0.3,29.45,0,1.25
1,"2/1/2022, 1:54:22 AM","2/1/2022, 2:25:14 AM",1,23.7,4,N,138,265,1,88.5,1.75,0.5,18.2,0,0.3,109.25,0,1.25
2,"2/1/2022, 1:04:40 AM","2/1/2022, 1:13:18 AM",1,1.32,1,N,164,162,1,7.5,0.5,0.5,1.7,0,0.3,13,2.5,0
2,"2/1/2022, 1:14:08 AM","2/1/2022, 1:29:17 AM",1,4.22,1,N,162,7,1,15,0.5,0.5,3.76,0,0.3,22.56,2.5,0
